epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1360.52,0.73524,1.34582,0.45016,1.05364,0.99443,1,0.995,0.70107,0.99443,1,0.995,0.58306,1.1444,1.23986,0.4389,2.0295,0.000683919,0.000683919,0.000683919
81,1373.26,0.79288,1.31065,0.47666,1.10989,0.99468,1,0.995,0.73094,0.99468,1,0.995,0.59934,1.06112,1.22201,0.44504,1.87639,0.000674488,0.000674488,0.000674488
82,1388.66,0.73461,1.26071,0.45489,1.08233,0.99459,1,0.995,0.82473,0.99459,1,0.995,0.63736,0.9045,1.31442,0.43342,1.59883,0.000665057,0.000665057,0.000665057
83,1417.86,0.72017,1.285,0.45287,1.05961,0.99439,1,0.995,0.72108,0.99439,1,0.995,0.66443,1.00592,1.13935,0.39931,1.87752,0.000655625,0.000655625,0.000655625
84,1441.77,0.75854,1.29587,0.46952,1.0621,0.99415,1,0.995,0.74933,0.99415,1,0.995,0.60679,0.95316,1.19569,0.39504,1.76846,0.000646194,0.000646194,0.000646194
85,1456.31,0.7376,1.28908,0.43754,1.05316,0.99459,1,0.995,0.70727,0.99459,1,0.995,0.61557,1.08289,1.29377,0.42865,1.76371,0.000636762,0.000636762,0.000636762
86,1477.06,0.76756,1.32923,0.46783,1.05794,0.99446,1,0.995,0.71596,0.99446,1,0.995,0.60698,1.04788,1.32125,0.45366,1.65119,0.000627331,0.000627331,0.000627331
87,1494.49,0.7352,1.22427,0.44758,1.05223,0.9945,1,0.995,0.76909,0.9945,1,0.995,0.62162,0.88325,1.23991,0.48352,1.61293,0.0006179,0.0006179,0.0006179
88,1511.26,0.7506,1.25055,0.45305,1.05666,0.99441,1,0.995,0.7601,0.99441,1,0.995,0.60215,0.89509,1.25685,0.38619,1.53279,0.000608468,0.000608468,0.000608468
89,1526.11,0.70529,1.20067,0.43721,1.02998,0.99449,1,0.995,0.73665,0.99449,1,0.995,0.63104,1.06091,1.15578,0.43695,1.85101,0.000599037,0.000599037,0.000599037
90,1539.05,0.74906,1.33454,0.47043,1.04188,0.9943,1,0.995,0.73973,0.9943,1,0.995,0.63572,0.98856,1.17871,0.41783,1.88207,0.000589605,0.000589605,0.000589605
91,1551.72,0.71883,1.24185,0.43704,1.03269,0.99452,1,0.995,0.71647,0.99452,1,0.995,0.57309,1.05824,1.21034,0.48985,1.74759,0.000580174,0.000580174,0.000580174
92,1564.68,0.7284,1.25965,0.43516,1.05929,0.99454,1,0.995,0.72752,0.99454,1,0.995,0.6123,0.96976,1.20017,0.46116,1.70822,0.000570743,0.000570743,0.000570743
93,1579.63,0.68963,1.26584,0.43863,1.01973,0.99419,1,0.995,0.69746,0.99419,1,0.995,0.56893,1.13909,1.25502,0.47702,1.96001,0.000561311,0.000561311,0.000561311
94,1592.21,0.72127,1.27611,0.43972,1.0494,0.9944,1,0.995,0.70974,0.9944,1,0.995,0.57787,1.06557,1.23348,0.45569,1.81753,0.00055188,0.00055188,0.00055188
95,1604.65,0.67161,1.23383,0.42251,1.01868,0.99475,1,0.995,0.72024,0.99475,1,0.995,0.59865,1.09721,1.23515,0.40599,1.79952,0.000542448,0.000542448,0.000542448
96,1617.71,0.6927,1.24694,0.42473,1.0164,0.9947,1,0.995,0.77742,0.9947,1,0.995,0.64554,0.95923,1.309,0.40531,1.6844,0.000533017,0.000533017,0.000533017
